OTU ID	ERG1A	ERG1B	ERG2A	ERG2B	ERG2C	ERG3A	ERG3B	ERG3C	ERG4A	ERG4B	ERG4C
89dcb16ddcbd3c9fcc091fbaf7e8b493	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	568.0	407.0
501bf699e5e6531ffc49d04bdcc69c7a	0.0	0.0	0.0	0.0	0.0	307.0	523.0	358.0	171.0	225.0	100.0
44cbf32a4ffb4dc55208fe78c56594cb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	346.0	244.0
4a25298feaa9cf8b05f00c083e4f7554	277.0	292.0	0.0	217.0	517.0	0.0	134.0	141.0	0.0	0.0	0.0
ea0f4c126d13f30fbc25504c4cb1b1c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	359.0	174.0
9a5c8c9f424d0d86525f93813b3fa2cc	0.0	0.0	0.0	299.0	403.0	192.0	359.0	296.0	33.0	0.0	88.0
fceefd5bb4235cfd17fe1781eafdb9b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	186.0	132.0
640de41d0e27e79f68cd222327ca27d2	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	86.0	181.0
8b93a4f29e9c2691958b6fdac35e66b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	13.0	155.0
5733a1e704d7817f3a3a3950f14ca44f	190.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e6e6b6a0f8fd6443bbb1d16fb496829d	0.0	0.0	0.0	0.0	184.0	0.0	143.0	112.0	87.0	144.0	64.0
ea77c6ce1d350818db289e797e32ef37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0
a7bf4bab37eb6827797841f7a33b5f66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	164.0	65.0
4e3a443cabed5110201050b136c09937	0.0	0.0	0.0	0.0	0.0	384.0	408.0	332.0	0.0	0.0	0.0
